,nsesymbol,Close,EPS current year growth %,EPS previous year growth %,EPS current quarter growth %,EPS previous quarter growth %,EPS previous 2 quarter growth %,EPS previous 3 quarter growth %,Volume 30d vs 200d avg,Sales current quarter growth %,Sales previous quarter growth %,Sales previous 2 quarter growth %,Sales previous 3 quarter growth %,Leader_Laggard,Current Price % of 52 Week High,Sales current year growth %,Profit Before Tax current year growth %,Profit_Before_Tax current quarter growth %,Profit_Before_Tax previous quarter growth %,Profit_Before_Tax previous 2 quarter growth %,Profit_Before_Tax previous 3 quarter growth %,Promoter(Jun 2024),Promoter( Sep 2024),Promoter( Dec 2024),Promoter( Mar 2025),FII(June 2024),FII(Sep 2024),FII(Dec 2024),FII(Mar 2025),DII(June 2024),DII(Sep 2024),DII(Dec 2024),DII(Mar 2025),company_name,industry_expansion_or_capex,management_change,new_geography_or_segment,new_product_or_service
21,BAJAJFINSV,2031.7,32.97002724795641,59.56521739130436,0.0,233.33333333333334,21.27659574468086,60.00000000000001,1.0616276362912564,36.20784964068547,40.29668411867367,20.417635687440505,52.12757140252293,Laggard,-4.84,30.51003923378721,33.31858522239284,-3.196930946291565,143.5079726651481,20.313121404141366,56.8833486158955,60.64%,60.64%,60.64%,60.64%,8.39%,8.24%,7.40%,7.53%,7.60%,8.13%,8.91%,8.99%,Bajaj Finserv Limited,"With Allianz’s exit, Bajaj Finserv is progressing towards 100% ownership of its insurance businesses, removing joint venture constraints. This enables the company, for the first time, to consider new strategic initiatives such as entering the pension business, launching operations in GIFT City, and accelerating international insurance expansion. Bajaj Technology vertical signed a new GCC deal and two deals in the Middle East, and launched solutions on AWS marketplace—representing diversification into tech-enabled solutions and new markets.",,"Bajaj Finserv Health began servicing its first two international insurer customers in the last quarter, marking its initial expansion outside India. Management highlighted international business as a strategic new focus area with higher profitability and a view to leverage domestic operational scale and AI capabilities globally. Additionally, broadening bank assurance tie-ups in BALIC is reducing concentration risk and expanding distribution reach.","Bajaj Finserv Health finalized the acquisition of Vidal Healthcare and has significantly expanded its integrated OPD, IPD, and wellness tech platform, now partnering with about 87,000 doctors, 4,500 lab touchpoints, and 15,000 hospitals. The segment has also started servicing international insurers and is building AI-driven healthcare capabilities, with early international revenue traction. BALIC (life insurance) relaunched its business as 'BALIC 2.0', featuring redesigned product portfolios compliant with new regulations, with a strong focus on protection and cost optimization, resulting in higher VNB margins."
22,TITAN,3675.0,-71.44650929181316,6.328437917222951,10.484780157835427,-4.859335038363177,-24.858223062381857,-0.91324200913242,0.8478643580784417,25.221459142032444,24.32620817843867,23.88165202463899,9.917846184301693,Leader,-4.97,-83.94192395915799,-2.7349685261558454,10.687022900763354,-4.807692307692313,-25.0,-0.9009009009009028,52.90%,52.90%,52.90%,52.90%,18.21%,18.23%,18.11%,17.82%,10.68%,11.28%,11.37%,12.01%,Titan Company Limited,"Titan plans to open 40 to 50 new Tanishq stores domestically in FY'26 and renovate/expand an additional 50 to 60 existing stores, continuing a multi-year transformation program. This significant network expansion and upgrading of store formats is positioned as a major driver of future growth.","Ajoy Chawla has been appointed as Managing Director, succeeding C.K. Venkataraman, effective January, ushering in a key leadership transition at the top.",,"Titan has recently launched 18-carat gold collections in certain regions for traditional customers, and CaratLane has launched 9-carat diamond jewellery, targeting budget-conscious consumers as gold prices rise. Additionally, there's aggressive push for smaller-carat Solitaire and studded jewellery, with early double-digit growth reported in the sub ₹50,000-₹1 lakh segment, and strong traction for 9-carat diamond jewellery introduced around Valentine’s Day. The company also highlighted ongoing innovation and portfolio expansion in segments like Mia and CaratLane."
23,ADANIPORTS,1446.8,41.24223602484469,-462.61261261261257,12.500000000000021,-22.222222222222232,191.20879120879118,97.25274725274724,0.7440686422946748,8.464598006712198,15.657746187727572,17.83120559030977,25.909673982377825,Leader,-9.85,16.224403745743142,40.58619545641253,12.398458821640723,-22.188814249557566,192.13173346949196,96.89680546040445,65.89%,65.89%,65.89%,65.89%,15.19%,15.22%,13.94%,13.43%,12.48%,13.26%,14.20%,14.73%,Adani Ports and Special Economic Zone Ltd,,,,
24,ADANIENT,2612.5,109.73947895791585,75.3338018271258,443.906020558003,-25.990491283676697,-17.51497005988024,2.5242718446601975,0.5855291961014705,-33.06808335993433,-22.661444404386998,3.8631833892575074,-30.92475772859936,Leader,-19.81,-13.983891058334441,81.50670859870095,450.44868741229027,-25.5922389555438,-17.563895561768984,2.550742405666817,74.72%,74.89%,73.97%,73.97%,11.73%,11.31%,11.72%,11.71%,6.02%,6.46%,6.61%,6.86%,Adani Enterprises Limited,,,,
25,ONGC,243.28,62.46507295870847,1.0668340131785303,-34.64968152866243,-16.666666666666675,17.07616707616706,-15.173237753882907,1.0755443805263107,0.9976126471669122,-3.0794177429216307,-3.6463286450773458,4.294185335033984,Leader,-29.48,-80.38240037599185,-11.800560620987433,-34.66371207078062,-16.698730553160168,17.05316416131899,-15.09179445186467,58.89%,58.89%,58.89%,58.89%,8.57%,8.12%,7.53%,7.11%,18.75%,19.04%,19.40%,19.93%,Oil and Natural Gas Corporation Limited,,,,
26,BEL,418.05,31.454545454545467,33.8199513381995,17.622950819672134,48.36065573770492,34.234234234234215,45.205479452054796,1.3131790190335955,6.931667084870319,39.14796612750775,14.776927468873001,19.594456027617333,Leader,-1.98,14.124677519879448,32.90693140577665,18.01269399838523,47.32564647934625,34.33660782431001,46.20978072488884,51.14%,51.14%,51.14%,51.14%,17.43%,17.27%,17.34%,17.55%,20.62%,20.22%,20.94%,20.87%,Bharat Electronics Limited,"Company is increasing annual capex to more than INR 1,000 crores per year, with plans for new factories and infrastructure larger than its current largest sites (Bangalore and Ghaziabad). Substantial R&D investment (targeting INR 1,600 crores+ in FY26), scaling up R&D manpower (700-1,000 engineers this year), and progressing indigenization drives with new in-house and collaborative technology development. BEL is also positioned to be a potential system integrator for large upcoming indigenous defense programs such as Project Kusha (Indian S-400 equivalent), QRSAM, and major expansion in next-generation corvettes and EW systems.",,"Increased focus and leads in exports, particularly targeting European rearmament due to strong recent performance of BEL products in real situations. Planning to scale up contract manufacturing for aerospace and defense requirements of European customers.","Significant orders and pipeline in counter-drone systems with both hard-kill and soft-kill solutions, proven in active operations and with growing repeat orders; substantial pipeline and orders in Software Defined Radios (SDR) across all services, including new SDR development with DRDO, and large upcoming numbers (40,000 to 50,000 units) for the Army; continual enhancement in electronic warfare systems, C4I solutions, and next generation technology platforms demonstrated during recent operations and acknowledged for proven combat performance."
27,DMART,4337.0,8.621106013040336,5.021557189956871,2.586206896551735,6.537102473498235,7.905138339920947,16.619981325863662,0.8198078816982239,16.69372394795319,17.497110738541277,14.158593143165433,18.364547617321158,Laggard,-20.93,15.117641504660684,7.521224573431762,2.5670307845084395,6.491409027985107,7.870440671789125,16.838759779107228,74.64%,74.64%,74.64%,74.64%,9.22%,9.95%,8.96%,8.18%,7.95%,7.43%,8.07%,9.08%,Avenue Supermarts Limited (DMart),"Significant store expansion in FY25 with total stores rising to 415 (from 365 in FY24), indicating major ongoing capital expenditure on retail footprint. Notable year-on-year increase in retail business area. Aggressive cluster-based expansion strategy continues.",,"DMart Ready (e-commerce/omnichannel) expanded from presence in just Mumbai (MMR) to 25 cities across India by FY25, showing a significant push into new urban markets and digital retail.",
28,POWERGRID,298.2,-0.7812499999999889,0.9096422073984423,4.954954954954949,-1.8735362997657878,-3.1553398058252413,-3.6745406824147064,0.9399153077066557,-0.6152640504446083,-5.2064376359867826,-1.5293572284803103,-1.7224650597093993,Leader,-18.58,-2.265000533130024,2.8299641180365764,5.048730912817323,-1.9177730257440961,-3.202954647414169,-3.6836831185694363,51.34%,51.34%,51.34%,51.34%,28.73%,28.26%,28.11%,26.79%,16.32%,16.89%,16.99%,18.30%,Power Grid Corporation of India Limited,"Announced significant capex plans of INR 28,000 crore for FY26, INR 35,000 crore for FY27, and INR 45,000 crore for FY28, with a cumulative pipeline worth over INR 300,000 crore by 2032. Commissioned an 85MW solar plant at Nagda (April 2025). Announced specialized skill development centers and deployment of innovative construction technologies. Progressing on several large HVDC and interstate transmission projects, including major wins like Khavda-Nagpur and multiple GW-scale transmission links for renewable energy evacuation.","Recently appointed woman Independent Director, Smt. Sajal Jha, to the POWERGRID Board.","Expanding into intra-state transmission projects (TBCB) as several states like UP, MP, Rajasthan, Odisha, and Maharashtra opt for competitive bidding. Also mentioned international consultancy assignments and potential bid for Paradeep-Andaman-Singapore HVDC links, and India's international grid connectivity ('One Sun One World One Grid') with countries such as Oman, UAE, Singapore, Sri Lanka, and Myanmar.","Commissioned the world's first 765 kV digital substation at Navsari, using advanced digital technology to enable remote testing and operations, reduce downtime, and mitigate EMI/EMC interference risks. Also developed a patented centralized condition monitoring and diagnostics system for transformers and reactors, and deployed robots in substation inspections. Launched pilot project for solar-powered Green Hydrogen at Neemrana."
29,WIPRO,265.04,69.7594501718213,4.4258373205741774,-41.02564102564102,-30.670103092783506,31.725888324873107,-3.813559322033888,0.6688595935701224,3.1308005689077545,2.986693797998252,1.2895142290191508,-4.194084683888666,Laggard,-18.35,3.5350320856015305,16.208576605596935,18.21303032780184,39.01329774086706,31.640227041187586,-8.238658319808344,72.82%,72.80%,72.75%,72.73%,7.12%,7.27%,7.81%,8.35%,8.25%,8.71%,8.20%,7.47%,Wipro Limited,"Wipro has invested heavily in scaling GenAI and AI-powered offerings, aligning its business units for greater industry focus, and targeted significant leadership and talent development initiatives through the Wipro Leadership Institute. The company realigned its global business lines effective April 1 to better meet customer needs.","Srini Pallia completed his first year as CEO, which has involved renewed focus and strategic shifts. Wipro has also installed a new leadership team in its Europe business to drive turnaround and future growth.","Wipro highlighted significant expansion in the sovereign AI domain in Thailand and deployment of AI-driven solutions for a major city in Europe (smart city infrastructure). They also mentioned a five-year transformation program for a global technology leader spanning 200,000 users across 200 countries, and a multi-function IT infrastructure takeover for a leading global food distributor, which may involve expanded reach.","Wipro has launched several AI-powered solutions and platforms, such as consulting-led AI industry and cross-industry solutions. Notably, Wipro mentioned a partnership with NVIDIA on Sovereign AI and the launch of SIAM.AI in Thailand aimed at the tourism industry, plus large-scale AI-based solutions for predictive maintenance in European smart city infrastructure. Wipro is also deploying its own TOPS platform for end-to-end crew operations management in the aviation sector."
30,ETERNAL,264.6,28.481012658227822,1028.5714285714284,36.95652173913042,24.444444444444446,29.729729729729737,63.63636363636365,1.1209278451384517,20.175438596491226,24.915824915824913,34.77443609022557,44.22535211267606,Leader,-0.71,30.12684989429175,59.620991253644306,45.2020202020202,28.645833333333325,33.650793650793645,70.28985507246377,,,,,54.11%,52.53%,47.31%,44.36%,15.79%,17.32%,20.51%,23.47%,,,,,
31,TATAMOTORS,688.65,-28.10679611650486,189.32584269662925,-32.31046931407943,-68.03691275167785,-58.18181818181818,-3452.9411764705883,0.836134568139788,-1.1934954497985983,-8.669801632344198,-16.475574634570457,6.3497107989576085,Laggard,-41.59,-6.067412689606644,-6.355878232072342,-34.99529633113829,-69.27789934354486,-62.44094488188976,-3521.875,46.36%,42.58%,42.58%,42.58%,18.18%,20.54%,18.66%,17.84%,15.93%,16.08%,16.54%,16.88%,Tata Motors Limited,"Major capex cycles continue: highest ever investment by Tata Motors Group (~Rs. 8,400 crore in FY25, all from operating cash flows); JLR ongoing GBP 18 billion investment program over five years remains on track (~GBP 3.8b/yr); Tata Motors Finance NBFC merged with Tata Capital to reduce risk; ongoing and planned launches in new fuels—hydrogen trucks shipped and AC regulation implementation accompanied by value enhancers in entire truck portfolio; transition to new regulatory and digital business models (Fleet Edge, E-Dukaan, Fleet Verse); increase in service and sales infrastructure; expansion of after-sales and service bays in identified hotspot locations; significant focus on localization of luxury JLR models for India. Demerger of Tata Motors segments progressing, effective October 2025.",,"JLR: Entering staff transportation and new city-specific micro-mobility segments in India; entering new segments in CV (e.g., milk and LPG transport with small commercial EVs); Freelander JV with Chery for China—localized vehicles for China market with future global export potential; expansion of electric buses in Indian metros and supplying to private segments; pushing into staff transportation beyond group companies.","Multiple notable product launches and upgrades: Launch of 11 new Commercial Vehicles (CVs); Sierra unveiled and soon to be launched; new Avinya concept showcased; ongoing deliveries of first hydrogen trucks; Range Rover Electric nearing launch with 62,000 pre-orders; Jaguar Type 00 (new GT) to be unveiled and launched in 2026; launch of Defender Octa; introduction of new digital solutions like Mileage Saarathi for fleet and E-Dukaan for B2B parts sales; upcoming launches of Harrier EV, Sierra EV, and refreshed Tiago and Altroz. Significant expansion in CNG and EV model range including Nexon CNG."
32,JSWSTEEL,1014.95,-9.44613050075872,60.73170731707318,103.14769975786926,-46.875,-55.65723793677204,-30.18335684062059,0.9681736100176997,-8.785448295617304,-4.803599659491676,-8.970738448597004,-0.9163309861320412,Leader,-5.58,-6.729673668526692,-45.93455627169063,103.27706057596822,-46.77152317880795,-55.406797116374875,-29.325513196480934,44.81%,44.84%,44.85%,44.84%,25.52%,25.66%,25.59%,25.78%,10.52%,10.53%,10.59%,10.52%,JSW Steel Limited,,,,
33,COALINDIA,391.0,7.935887412040654,6.494587843463773,-5.545286506469493,3.5052910052910224,88.48314606741572,-90.60402684563759,0.9506669770985845,-23.96766824811104,47.04201200342955,730.508474576271,167.44574290484144,Laggard,-28.07,3.930313225360549,6.58192308747223,-5.6156368584805545,3.5406380146837835,88.23371384078791,-90.4729744450012,63.13%,63.13%,63.13%,63.13%,8.39%,9.16%,8.58%,7.74%,23.15%,22.56%,22.59%,23.35%,Coal India Limited,"Significant capex projects underway: Commissioning of 50 MW Solar Power Plant at NCL (largest in CIL), planning of a Coal to Synthetic Natural Gas Project (with BPCL), and diversification into critical minerals (with IREL). Financial incentive of ₹1,350 Crore each for three coal gasification projects. These initiatives support major industry diversification and capacity expansion.",,Entry into critical minerals segment via MoU with IREL (India) Ltd. and expansion into renewable energy with solar power plant at NCL. These are significant moves beyond traditional coal mining and into future-oriented sectors.,"MoU executed with BPCL on 02.12.2024 for setting up Coal to Synthetic Natural Gas Project at WCL using Surface Coal Gasification. MoU executed with IREL (India) Ltd on 06.01.2025 for development of mutually agreed assets of critical minerals, indicating diversification. Commissioned a 50 MW Solar Power Plant at NCL in November 2024, the largest solar plant in CIL."
34,NESTLEIND,2455.9,-72.23414036163041,436.67763157894746,-5.263157894736836,-89.76902366444665,-89.13782119345933,-89.31382024023195,1.2091918549782257,3.677087714557059,3.89429338755527,1.302320381992672,3.755168308258483,Laggard,-11.59,-78.17397373263117,-15.90888034684157,-5.21960670969952,6.180503653086444,8.620385869086423,6.9106738837815485,62.76%,62.76%,62.76%,62.76%,11.94%,11.94%,10.27%,10.02%,9.17%,9.45%,10.80%,11.30%,Nestlé India Limited,"Major capex program: INR 5,800 Crores invested 2020–2025, including new tenth manufacturing facility starting soon in Odisha (primarily for foods and nutrition). Significant capacity expansion (>35% since 2020) across MAGGI, coffee, and chocolates. Joint venture with Dr. Reddy's for Nestlé Health Science portfolio, now showing double-digit growth and new product launches. Upgraded logistics/supply chain network post-GST using new tech and analytics. New sustainability projects such as biomass facility at Moga for stubble usage and multiple technology/digital investments including advanced AI for supply chain and sales optimization.","Succession announced: Manish Tiwari named as the new Chairman & Managing Director, succeeding Suresh Narayanan.","Entry and rapid expansion in Pet Care segment via Purina, targeting India's fast-growing pet population with plans for incremental investment. Launch of NESPRESSO caters to ultra-premium urban consumers. Continued aggressive RUrban (rural + urban) strategy, now covering over 200,000 villages and opening tenth plant in Odisha to serve Eastern India.","Formal launch of NESPRESSO premium coffee machines and boutique in Delhi, further expanding to major metros soon. Also ramp-up of recently reintroduced ready-to-drink (RTD) beverage portfolio, and expansion of innovative prepared dishes like millet, oat, besan noodles, and health-focused offerings. Continued rapid innovation, with about 150 new products in nine years and 16-20 more in the pipeline. Launch of new Nestlé Health Science products under the joint venture with Dr. Reddy's."
35,BAJAJ-AUTO,8370.0,8.966701508137964,34.694288012872086,7.153284671532845,4.570637119113563,10.785824345146388,20.88285229202038,0.8893174250763161,4.623678134390374,4.087575942729327,20.620076775212894,14.915425945331616,Laggard,-34.48,11.74000707843117,12.522793196097325,5.852789256198343,3.2739436205849515,9.198644983497983,19.436318530487682,55.06%,55.04%,55.04%,55.03%,14.19%,14.32%,12.45%,11.61%,8.73%,8.67%,9.98%,10.92%,Bajaj Auto Limited,"Major capital expenditure projects and expansion: (1) Brazil plant expansion from 20,000 to 50,000 units annually by Dec 2025. (2) Bajaj’s intent to acquire a controlling stake in Pierer Bajaj AG (KTM), subject to regulatory completion, with a planned comprehensive turnaround and synergy drive—expanding the group’s presence in global premium motorcycles. (3) Capex spending of INR700 crores, with 60% allocated to the electric business (Chetak, GoGo) and remaining for innovation across core portfolios. (4) Bajaj Auto Credit Limited (BACL, captive finance) now pan-India, with disbursals over INR10,000 crores and plans for further capital infusion.",,"Major ramp-up in Latin American motorcycle exports, specifically citing Brazil where a local plant’s capacity is being raised from 20,000 to 50,000 units by December 2025. Strong export thrust in top 30 overseas markets (Bajaj outpaced industry growth in 26/30), with a focus on gaining market share in Latin America and entering deeper into key markets such as Mexico. Also entering the e-rickshaw segment, potentially upgrading the 40,000 units/month Indian market.","Launches and scale-up of several new products including: (1) The world’s first CNG motorcycle, 'Freedom', targeting long-distance riders for fuel cost savings. (2) Expansion of the Chetak electric 2-wheeler portfolio with the successful 35 Series platform (Chetak 3503 and a new upgraded entry-level variant). (3) Launch of 'GoGo', a new electric 3-wheeler brand, and imminent launch of an e-rickshaw in July that aims to upgrade the large, fragmented low-quality segment. (4) Six new Pulsar variants targeting sporty and commuter subsegments (125cc-200cc)."
36,ASIANPAINT,2332.6,-32.55730012633099,29.614035087719294,-42.58524980174464,-23.50597609561753,-48.09917355371901,-20.915448188175468,1.007218978003487,-5.0497626622161835,-6.335299094667334,-6.493740824477889,-2.8740103427760677,Laggard,-31.29,-4.233207839182562,-30.027490741164097,-42.59254665575208,-23.51787965695443,-48.08791208791209,-20.947778065063606,52.63%,52.63%,52.63%,52.63%,15.27%,15.28%,13.61%,12.23%,12.30%,13.10%,13.98%,15.51%,Asian Paints Limited,"Major backward integration and strategic capex: (1) Commissioning of a 2.75 lakh tonne white cement plant in Fujairah (first foray into cement), (2) Setting up a world-class, futuristic and environmentally friendly VAM/VAE emulsion plant (over Rs 3,000 crore capex), partially operational by Mar-Apr 2026, full by Apr 2027, making Asian Paints one of only four globally with such technology (and India's only paint company making these emulsions in-house), enabling margin expansion and product innovation. Ongoing total capex outlay of Rs 9,000 crores, with Rs 700-800 crores to be spent in FY26 and similar in FY27.",,"Significant expansion in integrated Home Decor business, including: (1) World's first luxury design destination 'Nilaya Anthology' in Mumbai (1 lakh sq. ft. store targeting HNIs and architects), (2) Beautiful Home Stores now in 67 locations covering 53 cities, strongly pushing into furniture, furnishings, kitchen/bath, lighting, and collaborations with premium brands/designers (like Sabyasachi, Sarita Handa). Entered white cement business with a plant in Fujairah, Dubai, operational by June 2025.","Launched several major innovations: (1) World's largest colour system Chromacosm (5,300+ shades), (2) Nilaya Emulsions targeting luxury segment, (3) Smartcare Infinia waterproofing with 25-year warranty (lifetime terrace waterproofing), (4) Advanced ingredient-based paint solutions using graphene, Teflon, and PU serum for enhanced durability and warranty. Initiated regionalized and QR-code driven packaging to strengthen premiumization and customer engagement."
37,ADANIPOWER,585.75,-41.119842829076624,91.56943921716221,2.430555555555558,48.92367906066535,-64.31159420289855,-70.71005917159763,0.7831463253240414,-0.3046174713808192,17.86494528512421,-0.703493670298283,33.87276051360142,Laggard,-22.2,7.005478243087615,-21.94342685924434,-1.6975218598137887,40.555221115999075,-63.63444265167786,-69.81603480116955,72.71%,74.96%,74.96%,74.96%,14.73%,12.66%,12.34%,12.36%,1.42%,1.52%,1.60%,1.64%,Adani Power Limited,"Major capacity expansion from current 17,550 MW to a targeted 30,670 MW by 2030 underway, with three brownfield 1,600 MW projects (Mahan, Raipur, Raigarh) under full-swing construction, ongoing revival of 1,320 MW expansion at Korba, and new greenfield and expansion projects at Kawai, Mirzapur, and Lanco Amarkantak. Advance orders for 11.2 GW ultra-supercritical BTG equipment placed. Capex for FY25 was INR 8,000 crores, with planned INR 13,307 crores in FY26. Acquisition of Vidarbha Industries Power Ltd. (600 MW) and completed amalgamation of Adani Power (Jharkhand), adding 1,600 MW. Funding the expansion mostly via internal accruals due to strong cash flow and high EBITDA.",,"Entry into commercial coal mining for captive use; won four coal mine auctions (three in Madhya Pradesh, one in Maharashtra) with a total of 14 million metric tons per annum (MTPA) capacity. Production to start from Dhirauli (MP) mine in 2025. This move integrates coal supply in-house for merchant/captive operations.",
38,INDIGO,5973.5,-11.294896030245749,-2677.3447015834345,62.09496637456695,-18.648648648648646,-625.6673511293634,-11.777194954414883,1.8997164017334487,24.272803262778186,13.667418941913745,13.555515702749222,17.30853378568733,Leader,-0.28,17.277583265806907,-5.659908196199536,62.278895401024336,-18.559279639819913,-626.3494091344618,-11.677247991707695,55.29%,49.29%,49.27%,49.27%,24.43%,25.40%,24.83%,25.12%,15.36%,20.59%,21.14%,20.66%,InterGlobe Aviation Limited (IndiGo),"Major capital expenditure on fleet expansion: inducted 67 net new aircraft, including first-ever deployment of B787 wide-bodies via damp lease with Norse Atlantic Airways (first B787 launched, 5 more to come in H2 FY26). Increased proportion of owned ATRs (now 8). Added 4 new ifly training centers in FY25. Ongoing investment in digital initiatives like NDC and Advanced Revenue Management Systems. Committed to be an anchor carrier for the new Navi Mumbai and Noida airports, having conducted first test flights at both locations, with commercial operations expected to commence this year.",,"Significant international expansion with the addition of 7 new international destinations during FY25, increasing international routes from 25 to 41 in less than 3 years. Entered new geographies including North and Central Asia, Nairobi (Africa), and Indonesia, with further plans to launch flights from Mumbai to Amsterdam and Manchester using wide-body, damp-leased aircraft. Strategic focus on long-haul markets and increasing international ASKs from 30% to 40% by FY2030.","Launched 'Stretch', a premium business-class product initially on 5 domestic routes using 16 aircraft and now introduced internationally on the Delhi-Bangkok route with damp-leased B787s. Also launched the BluChip loyalty program, which attracted 2.9 million sign-ups in 7 months and features partnerships with major brands like Accor and Swiggy."
39,TRENT,6203.0,10.373854914582804,158.9102564102564,-46.5507876154264,36.50465356773527,46.13496932515338,130.6954436450839,1.0787642769216972,28.841863486176365,36.89773221272279,39.603974096418895,57.37631237605611,Laggard,-25.67,37.77973593043893,10.852390408472656,-46.51831020358256,36.59196740395807,46.18013601684674,130.76144870843729,37.01%,37.01%,37.01%,37.01%,27.87%,26.62%,21.68%,19.65%,13.18%,13.39%,15.25%,17.20%,Trent Limited,,,"Expanded presence to 242 cities including Dubai with Zudio fashion concepts and 235 cities with fashion and grocery division. Opened 132 Zudio stores this quarter, increasing retail footprint significantly.","Launch of My STAR App aimed at building stickiness with STAR users through customized offerings, including WhatsApp campaigns to drive higher bills and average bill value."
40,DLF,838.6,26.33663366336634,-45.93147751605996,251.68539325842696,-135.63829787234042,13.235294117647056,-97.1830985915493,1.2680425482887925,145.85940334942435,17.46103399415666,30.097618567685092,-51.81301566921084,Leader,-9.73,38.22326665803158,35.88558106639075,249.92888266769015,-135.82150713885176,13.681224513917623,-97.83934781369364,74.08%,74.08%,74.08%,74.08%,16.17%,16.66%,16.37%,16.27%,4.81%,4.66%,4.87%,4.72%,DLF LIMITED,"Major capital expenditure of approximately INR 5,000 crores for FY '26 and FY '27 dedicated to aggressive expansion of RentCo (office/retail leasing portfolio) and completion of large-scale projects including Downtown Gurgaon (ongoing 12 million sq. ft. development), Downtown Taramani (7-7.5 million sq. ft.), and data centers in Noida. Leasing and OC received for multiple office and retail assets, and occupancy levels reported at new highs with continuously declining vacancy rates. Noteworthy expansion of joint ventures (Atrium Place with Hines) and sustainability certifications achieved across entire portfolio.",,"DLF is expanding materially into Mumbai and Goa, marking a meaningful entry outside their NCR (Gurgaon/Delhi) stronghold. These regions represent significant new incremental growth opportunities.","Significant new launches announced: Next phases of Privana (Privana North), the Mumbai project, and Dahlias, along with major retail and office space completions (e.g., Downtown 4 Gurgaon, Downtown 3 Taramani, Atrium Place with JV partner Hines). New evolved product offering for Privana North highlighted as a step-up in quality and brand ecosystem."
41,IOC,146.59,-68.09176225234619,381.10367892976586,50.42735042735045,-64.3344709897611,-98.61995753715499,-80.7615230460922,0.8913900859132056,-1.520980362335811,-2.6139458695876305,-3.278205130059675,-2.17239635153893,Laggard,-21.18,-2.1427672495330508,-69.65853529931964,50.17187955408471,-64.36325168446521,-98.61181801636731,-80.7774878476616,51.50%,51.50%,51.50%,51.50%,7.79%,7.90%,7.43%,7.39%,10.04%,10.43%,10.08%,9.97%,Indian Oil Corporation Limited,,,,
42,JIOFIN,325.8,-75.0,-99.61215255332903,25.0,9.090909090909083,242.8571428571428,-99.98472519232372,0.9205331548852321,24.176215215998866,10.232696897374694,157.29348556077903,-37.600782961271385,Laggard,-10.25,-76.17778892267184,-75.81573896353166,24.92283950617282,6.668558456299656,243.43172600270387,-50.67024128686326,47.12%,47.12%,47.12%,47.12%,17.55%,16.88%,15.62%,11.66%,11.79%,11.39%,12.46%,14.21%,Jio Financial Services Limited,"JV with BlackRock for asset management, wealth management, and broking, with the asset management arm ready for launch pending regulatory approval; capital infusion of Rs. 1,346 crores into Jio Finance Limited, Jio Payments Bank Limited, and Jio BlackRock ventures to support expansion; acquired (pending regulatory approval) State Bank of India’s remaining stake in Jio Payments Bank for Rs. 105 crore, making it a wholly owned entity and strengthening position in payments/banking. Achieved Payment Aggregator license for Jio Payments Solutions business.",,"Rapid expansion into new customer segments: increased focus on underserved/rural regions via Jio Payments Bank Limited’s (JPBL) Business Correspondent network (over 14,000 agents, 6x growth), physical expansion to 10 Tier-1 cities for retail lending products, onboarding small merchants through feature phones. Targeting both prime/near-prime retail and high-rated wholesale clients, urban/rural users, plus roll out of insurance and investment products across broader Indian economic segments.","Launched JioFinance app in May 2024, integrated with MyJio in September 2024, rapidly achieving over 8 million monthly active users by March 2025; rollout of JioSoundPay for UPI audio alerts on JioBharat phones to onboard small merchants; introduced a personal finance management feature 'MyMoney'; developed a comprehensive suite of secured lending products (home loans, loans against property, mutual funds, shares, and various corporate finance solutions). Significant progress on the soon-to-launch asset management business through Jio BlackRock JV, with investment platform and leadership in place, awaiting regulatory approval."
43,TATASTEEL,159.93,-79.74481658692186,4.412989175686932,-22.560975609756095,-16.621983914209114,-142.22873900293257,-36.124401913875595,0.7151366238155559,-5.637664896553362,-5.531089901045682,-5.229048784285684,-7.058938521854952,Laggard,-10.25,-75.52591290642928,-4.029129374392126,-22.536987654079578,-17.451591345396654,-142.29191987713992,-36.11734945350843,33.19%,33.19%,33.19%,33.19%,19.68%,19.25%,18.53%,18.29%,23.33%,22.67%,23.52%,24.48%,Tata Steel Limited,"Major capex and expansions: Commissioned India’s largest blast furnace at Kalinganagar (5 MTPA); civil work ongoing for a 0.75-1 MTPA EAF at Ludhiana (commissioning in 12 months). Commissioning world’s longest Stelmor conveyor line at Jamshedpur, commissioning of a 0.5 MTPA Combi mill in Jamshedpur, and ramp-up of 100,000 TPA tubular structural mill. Announced Neelachal next-phase expansion (targeting up to 9.5 MTPA, with environmental clearance underway). In Europe, secured £500M UK government funding for EAF at Port Talbot (site construction to begin July). Netherlands progressing on decarbonisation project (DRI-EAF combo by ~2030), actively seeking government and EU funding.",,"Expansion into commercial shipbuilding market in India. Also, targeting oil & gas pipelines as a new high-end segment post Kalinganagar commissioning. For retail, continued rapid expansion in the Individual House Builder (IHB) segment with Tata Tiscon and on e-commerce platform ‘Aashiyana’, with scale-up plans enabled by new capacity at Neelachal and upcoming Ludhiana plant.","Tata Steel forayed into commercial shipbuilding-grade steel supply, delivering to major Indian shipbuilders like Mazagon Dock Shipbuilders, Garden Reach Shipbuilders and Cochin Shipyard. The company also ramped up supply of specialised automotive high-strength steel products, including localising select grades (CP780), and through the JCAPCPL JV, started supplying DP780 grade steel to auto OEMs."
